round,full,no_adapt,no_fl,no_twin,no_cl
1,0.013095800853708784,0.0033911649915626275,0.016170961628796266,0.01764936259472279,0.027613402542968176
2,0.004183300132670368,0.008276472678623427,0.014089002803605354,0.005612486080160943,0.027856776554368246
3,0.0058309518948453055,0.010295630140986993,0.019836834424877377,0.016046806535881197,0.0794260662503186
4,0.009669539802906836,0.008306623862918052,0.023632604596192958,0.013729530217745981,0.05662596577542852
5,0.007842193570679092,0.008514693182963207,0.02878367592924848,0.011224972160321818,0.09469160469650939
6,0.018533752992850632,0.006123724356957942,0.017058722109231986,0.013910427743243544,0.07123903424387502
7,0.008154753215150043,0.00874642784226794,0.011979148550710916,0.016170961628796218,0.008124038404635967
8,0.0053385391260156526,0.005787918451395097,0.027018512172212582,0.013546217184144055,0.06843610158388627
9,0.011467344941179696,0.02215851980616033,0.0846079192510961,0.014265342617687094,0.009695359714832666
10,0.014543039572248962,0.0323882694814033,0.06505766672729663,0.013838352503098037,0.06282913336979906
11,0.010677078252031284,0.07133372274037014,0.07782994282408282,0.014017845768876174,0.02669269563007828
12,0.008746427842267968,0.04559056920021946,0.07274269722796921,0.010793516572461427,0.02567099530598688
13,0.0052440442408507515,0.0360763080150949,0.08276472678623424,0.011789826122551559,0.04760777247467053
14,0.011022703842524299,0.0,0.0040000000000000036,0.016077935190813523,0.038619943034655047
15,0.012103718436910204,0.0,0.0,0.014882876066137193,0.04988987873306569
16,0.009823441352194243,0.0,0.002738612787525833,0.025426364270182224,0.030083217912982657
17,0.00509901951359279,0.0,0.0910631648911897,0.007842193570679045,0.04299418565341132
18,0.008124038404635934,0.0010000000000000009,0.06520352751193759,0.02288012237729512,0.04662617290749906
19,0.007314369419163886,0.0,0.00979795897113272,0.013546217184144048,0.03558791929854845
20,0.005244044240850773,0.0,0.006633249580710805,0.008154753215150044,0.033443983016381254
